QUEST;ESTRATO;UPA;ID_DOMICILIO;CLASSE_2015;CLASSE_2008;AREA;RENDA_FAMILIAR;GRAU_INSTRUCAO;resp_sexo;resp_idade;RESP_ESCOLARIDADE;RESP_PEA;RELIGIAO_KIDS;RACA_RESP_KIDS;D1;D2;D3_A;D3_B;D3_C;D3_D;D3_E;D3_F;D3_G;D3_H;D3_I;D3_OUTRO;D3_outro_desc;D4;D5;D6;D7_A;D7_B;D7_C;D7_D;D7_E;D7_F;D7_G;D7_OUTRO;D7_outro_desc;E3;E4_A;E4_B;E4_C;E4_D;E4_E;E4_F;E4_G;E5_A;E5_B;E5_C;E5_D;E5_E;E5_F;E5_G;E6_A;E6_B;E6_C;E6_D;E6_E;E6_F_1;E6_G;E7_A;E7_B;E7_C;E7_D;F1;SEXO_KIDS;IDADE_KIDS;ESC1;RACA_KIDS;M1_A;M1_B;M1_C;M1_D;M1_E;M1_F;M1_OUTRO;M1_outro_desc;M2;M3;M4_A;M4_B;M4_C;M4_D;M4_E;M4_F;M4_G;M4_H;M4_I;M4_J;M4_OUTRO;M4_outro_desc;M5;M6_A;M6_B;M7A_A;M7A_B;M7A_C;M7A_D;M7A_E;M7A_F;M7A_H;M7A_OUTRO;M7A_OUTRO_DESC;M7_G;M8;N1_A;N1_B;N1_C;N1_D;N1_E;N1_F;N1_G;N1_H;N1_1_I;N1_1_L;N1_1_P;N1_1_Q;N1_2_R;N1_2_K;N1_2_M;N1_3_S;N1_3_T;N1_3_Y;N1_3_J;N1_3_N;N1_4_V;N1_4_U;N1_4_X;N1_4_Z;N1_4_O;N2_A;N2_B;N2_C;N2_D;N2_E;N2_F;N2_G;N2_H;N3;R1_A;R1_B;R1_C;R2A_A;R2A_B;R2A_C;R2A_D;R2A_E;R2A_F;R2A_G;R2A_H;R2A_I;R2A_J;R3A_J;R3A_K;R3A_L;U1;U2_A;U2_B;U2_C;U2_D;U2_E;U2_F_1;U2_G;U3_A;U3_B;U3_C;U3_D;U3_E;U3_F;U3_G;U4_A;U4_B;U4_C;U4_D;U4_E;U4_F;U4_G;T1;T2_A;T2_B;T2_C;T2_D;T2_OUTRO;T3;T4_1;T5_A_1;T5_B_1;T5_C_3;T5_D_4;T5_E_5;T5_F_6;T5_OUTRO_1;T6;T7_A;T7_B;T7_C;T7_D;T7_E;T8;T9_A;T9_B;T9_C;T9_D;T9_E;T9_F;T10_A;T10_B;T10_C;T10_D;T10_E;T11_A;T11_B;T11_C;T11_D;T11_E;T11_F;T12_A;T12_B;T12_C;T12_D;T12_E;T12_F;T13_A;T13_B;T13_C;T13_D;T13_E;T13_F;T14;T15_A;T15_B;T15_C;T15_D;T15_E;T15_F;T16;T17;T18;T19_A;T19_B;T19_C;T19_D;T19_E;T19_F;T19_G;T19_H;T19_I;T19_J;T19_OUTRO;T20;T21_A;T21_B;T21_C;T21_D;T21_E;T21_F;T21_G;T21_H;T21_I;T21_J;T21_K;AV1_1;AV1_2;AV1_3;AV1_4;AV2_1;AV2_2;AV2_3;AV2_4;AV3_1;AV3_2;AV3_3;AV3_4;AV3_5;AV3_6;AV4;AV5;PESO;RENDA_FAMILIAR_2;ESCOLARIDADE;COD_REGIAO_2;FAIXA_ETARIA;M8_FAIXA;M1_AGREG;M1_DISPOSITIVOS;A1B_EXCLUSIVO;A4_AGREG
7654;89;592;7654;3;3;1;2;4;2;18;10;1;3;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;4;0;0;0;1;0;1;0;0;99;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;3;3;1;3;1;1;1;1;0;1;13;8;3;0;0;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;5;1;1;0;0;1;1;0;0;0;0;99;0;8;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;99;5;5;5;4;99;99;99;0;3;2;3;1;0;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;3;1;3;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;0;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2;2;13295,30054;2;3;1;3;3;1;3;3;0
7664;89;592;7664;2;2;1;4;5;1;51;12;3;1;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;0;0;0;1;0;99;1;1;1;1;0;0;1;0;0;1;1;1;0;0;1;1;1;1;1;3;3;3;0;0;0;0;0;2;14;8;3;1;1;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;0;1;1;0;99;0;10;0;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;99;5;1;1;1;1;99;2;0;3;2;2;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;3;3;3;1;0;1;0;0;1;0;0;1;1;1;1;1;1;97;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;99;99;99;99;99;99;99;99;1;0;1;1;0;0;0;1;1;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;14852,99258;4;3;1;3;5;1;3;3;1
7681;89;593;7681;4;3;1;2;2;2;66;6;5;1;3;1;1;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;0;2;17;12;3;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;1;0;0;0;0;0;99;0;14;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;0;1;1;0;1;0;99;99;99;1;1;1;99;1;99;3;3;2;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;2;1;3;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;98;98;98;98;98;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;1;0;0;1;1;0;0;0;0;0;1;0;0;3;1;8671,517526;2;1;1;4;8;0;2;3;1
7685;89;593;7685;3;3;1;3;4;2;34;10;4;3;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;0;0;0;1;0;99;0;0;1;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;2;3;3;0;1;1;1;0;2;13;7;5;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;1;1;1;0;99;1;9;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;99;3;99;1;1;1;1;1;1;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;97;0;1;0;0;1;0;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;97;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;2;9756,253406;3;3;1;3;4;0;2;3;1
7744;89;594;7744;2;3;1;4;4;1;43;10;1;3;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;0;0;0;0;0;99;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;1;1;1;3;1;2;0;0;0;0;1;1;15;10;2;0;1;0;1;0;1;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;0;1;1;0;99;1;10;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;99;2;3;2;1;1;1;1;0;3;2;3;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;8716,848888;4;3;1;4;5;1;3;3;1
7790;89;595;7790;3;2;1;4;2;1;40;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;2;0;0;0;0;0;1;1;0;99;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;2;2;2;1;1;0;1;0;1;12;8;1;0;0;0;1;1;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;2;1;0;1;0;0;0;0;0;0;0;99;0;10;1;1;1;1;1;0;1;0;1;0;1;1;0;1;1;1;0;0;0;1;0;1;0;1;1;4;1;4;4;1;99;3;99;1;3;2;3;1;1;1;0;1;1;1;1;1;1;0;1;1;2;2;1;1;1;3;2;2;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;99;99;99;99;99;99;99;99;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2;1;15761,03107;4;1;1;2;5;0;2;1;1
7794;89;595;7794;4;4;1;1;2;2;40;7;1;1;3;1;1;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;1;1;1;0;1;0;0;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;0;2;9;4;3;0;0;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;0;1;0;0;0;0;0;99;0;9;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;2;2;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;2;2;3;1;1;3;1;3;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;1;0;1;0;0;0;2;2;8991,917064;1;2;1;1;4;1;3;1;0
7796;89;595;7796;3;3;1;2;3;1;27;10;1;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;0;0;0;1;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;3;1;1;3;0;0;0;0;0;1;13;7;3;0;1;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;4;1;1;1;1;1;0;0;0;1;0;99;0;8;0;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;99;2;2;4;3;3;99;3;0;3;1;3;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;2;1;2;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;1;0;0;0;0;0;2;2;8050,316131;2;3;1;3;3;1;3;3;0
7798;89;595;7798;3;3;1;3;4;1;21;10;1;3;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;0;1;0;1;1;0;1;0;99;1;1;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;3;3;3;3;0;0;0;0;0;1;12;7;3;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;3;1;0;0;0;1;0;0;0;1;0;99;0;9;1;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;2;2;2;99;1;2;1;1;0;3;3;3;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;3;3;1;3;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;0;1;1;0;0;1;0;0;0;0;3;1;7880,515537;3;3;1;2;4;0;2;1;0
7866;89;596;7866;2;2;1;5;4;2;45;10;1;3;1;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;1;1;0;1;0;99;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;0;1;0;0;0;2;16;11;1;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;0;1;1;0;99;1;10;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;99;2;3;2;1;1;2;1;0;2;3;3;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;3;1;2;0;0;1;1;0;0;1;1;1;1;1;1;1;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;1;0;0;1;0;0;0;0;1;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;11195,49432;4;3;1;4;5;1;3;3;1
7880;89;597;7880;4;4;1;1;4;2;29;10;4;1;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;1;0;0;0;0;99;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;3;1;1;1;1;1;0;2;10;5;3;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;2;0;1;1;0;1;0;0;0;0;0;99;1;8;0;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;99;2;2;99;99;3;99;2;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;1;2;3;3;3;3;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;97;97;97;97;97;97;97;99;99;99;99;99;99;99;99;1;97;97;97;97;97;97;97;97;97;97;97;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;1;0;0;0;0;0;1;0;0;3;1;19388,70578;1;3;1;1;3;0;2;2;1
7942;89;598;7942;3;3;1;1;3;2;42;8;4;1;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;1;1;1;1;0;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;3;1;1;1;1;0;2;13;8;3;0;1;0;1;0;1;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;0;1;1;0;99;0;4;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;5;1;1;1;1;1;1;0;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;1;3;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;99;99;99;99;99;99;99;99;97;97;97;97;97;99;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;1;1;1;0;97;97;97;97;97;97;1;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;13333,07084;1;2;1;3;1;1;3;3;1
7957;89;599;7957;4;4;1;1;1;2;43;1;1;3;3;1;1;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;1;1;1;0;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;1;2;12;6;2;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;1;1;0;0;0;0;0;99;0;99999997;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;99;99;1;1;99;1;1;1;99;1;3;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;3;1;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;97;99;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;3;1;17814,43844;1;1;1;2;97;1;3;1;0
7965;89;599;7965;2;2;1;2;4;1;44;10;1;1;4;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;0;0;0;1;0;99;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;3;2;2;0;1;1;1;0;2;15;9;1;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;1;1;1;0;99;1;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0;4;3;3;2;3;3;1;1;0;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;1;1;0;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;97;1;1;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;97;1;0;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;8532,512582;2;3;1;4;3;1;3;3;0
7970;89;600;7970;2;2;1;3;5;2;35;12;4;6;1;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;1;0;0;1;0;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;2;1;1;1;1;0;2;9;5;1;1;1;0;1;1;1;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;0;1;0;0;0;0;0;99;1;6;0;1;0;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;0;1;0;1;0;99;3;99;3;1;4;1;4;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;1;1;1;3;3;2;0;1;0;1;0;1;1;1;0;1;1;1;0;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;1;0;1;0;0;0;1;0;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;10988,70764;3;3;1;1;1;1;3;1;1
7971;89;600;7971;3;3;1;1;3;2;32;9;4;12;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;1;0;0;1;0;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;1;1;0;1;1;1;10;5;3;0;0;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;0;0;1;0;0;99;0;7;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;99;4;1;99;1;99;99;3;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;2;1;1;1;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;10567,76961;1;3;1;1;2;1;3;3;1
7973;89;600;7973;3;4;1;1;1;2;52;5;1;3;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;1;0;0;0;0;99;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;0;0;0;0;0;2;15;10;3;0;1;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;2;1;1;1;0;1;0;0;0;0;0;99;0;9;0;0;1;1;1;1;1;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;99;99;3;4;3;1;2;1;99;3;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;97;97;97;97;97;97;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;97;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;9092,484683;1;1;1;4;4;1;3;3;1
7995;89;601;7995;2;2;1;6;5;2;29;12;1;4;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;1;0;1;0;99;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;3;1;3;1;1;1;1;0;1;16;11;1;0;1;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;1;0;1;1;1;0;99;0;10;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;1;2;1;1;2;99;1;1;1;1;3;3;3;1;1;1;1;1;1;1;1;1;0;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;13031,21642;4;3;1;4;5;1;3;3;1
7998;89;602;7998;3;3;1;2;4;2;33;10;1;4;1;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;1;0;0;0;0;99;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;2;1;1;1;3;1;3;1;1;1;1;0;1;12;6;1;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;0;1;0;0;0;0;0;99;0;8;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;0;0;0;1;0;1;3;99;4;2;1;1;1;0;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;3;1;1;1;1;1;0;1;0;1;1;1;0;1;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;1;0;0;0;0;2;1;9606,443188;2;3;1;2;3;0;2;1;1
8007;89;602;8007;3;4;1;4;2;2;21;12;4;12;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;1;0;0;0;0;99;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;3;1;2;3;2;3;3;1;1;0;1;0;1;17;7;3;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;1;1;1;0;0;1;0;99;1;6;1;1;1;1;1;1;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;1;2;1;1;1;1;99;1;1;3;3;3;1;0;1;1;1;0;0;1;0;0;1;1;1;2;1;1;1;1;3;3;3;0;1;1;1;0;0;0;1;1;1;1;1;0;1;0;99;99;99;99;99;1;1;0;0;0;1;1;0;0;1;97;97;97;97;97;99;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;97;97;97;97;97;97;97;97;97;97;97;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;3;9856,187014;4;3;1;4;1;0;2;1;1
8025;89;603;8025;3;2;1;2;3;2;27;12;4;3;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;1;0;0;0;0;99;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;3;1;2;0;1;1;1;0;1;16;12;2;0;0;0;1;1;1;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;0;1;0;0;0;0;0;99;1;8;0;1;1;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;99;3;3;99;1;1;1;1;0;2;3;3;1;1;0;0;1;1;0;1;0;0;1;1;1;2;1;1;1;1;3;1;2;0;1;0;1;1;0;0;1;1;0;1;1;1;1;0;99;99;99;99;99;1;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;99;99;99;99;99;99;99;99;1;0;0;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;0;0;1;0;0;0;0;1;0;0;3;3;35536,85523;2;3;1;4;3;0;2;1;1
